NO.,Name of health facility,Telephone number,Email Address,Street Address,Municipality,Expiry Date,Sector of health facility,Head of the facility,Region,Province
1682,"Doñamarta (Atimonan)Quezon Provincial Hospital 
Network-",042-788-3543,unisanmch1222@yahoo.com,BRGY. IBABANG KALILAYAN,UNISAN,31/12/2025,G,"Jesus M. Calayag, Md",REGION IV-A,QUEZON
1683,Unisanreal Rural Health Unit,042-536-7375,rhureal@gmail.com,LA ROSA ST. POB. I,REAL,31/12/2026,G,"Maricris M. Uy, Md",REGION IV-A,QUEZON
1691,"Rural Health Unit Agdangan 
Quezon",042-788-6697,rhuagdangan@yahoo.com.ph,BARANGAY POBLACION II,AGDANGAN,31/12/2025,G,"Felixberto Legaspi Ilagan, Md",REGION IV-A,QUEZON
1694,"Rural Health Unit Of Lopez, 
Quezon",042-794-2983,rhulopez@yahoo.com,"BANABA ST . COR MULAWIN BRGY.
MAGSAYSAY",LOPEZ,31/12/2025,G,"Paolo Gaylord S. Villafañe,M.D.",REGION IV-A,QUEZON
1697,"Quezonrural Health Unit Pagbilao 
(Sentrong",042-785-6169,rikitolentino518@gmail.com,BONIFACIO ST. COR. QUEZON ST.,PAGBILAO,31/12/2025,G,"Riki De Jesus Tolentino, Md",REGION IV-A,QUEZON
1698,Pangkalusugan)Rural Health Unit-Lucban,042-545-3382,rhulucbanquezon@gmail.com,"NATIONAL ROAD, BRGY. ABANG",LUCBAN,31/12/2025,G,"Luis S Mallari Iii, Md",REGION IV-A,QUEZON
1699,Sampaloc Rural Health Unit,042-784-7048,sampalocrhu@yahoo.com,"S. OBNAMIA ST. COR. I. DORNEO ST.,
BRGY. SAN ROQUE",SAMPALOC,31/12/2025,G,"Rani B. Ramoso, Md",REGION IV-A,QUEZON
1700,"San Antonio Primary Care 
Facility",042-5454105,rhusanantonioquezon@yahoo.com,POBLACION,SAN ANTONIO,31/12/2025,G,"Ma. Wilma C. Laroza, Md",REGION IV-A,QUEZON
1701,"San Francisco Rural Health 
Unit",042-788-8013,"MHO.SANFRANCISCO@GMAIL.CO
M",PUROK 6 POBLACION,SAN FRANCISCO (AURORA),31/12/2025,G,"Armand Renz T. Orense,Md",REGION IV-A,QUEZON
1703,"St. Anne General Hospital, Inc.",042-710-2218,saghiofficial@yahoo.com.ph,"P. GOMEZ EXT., RED-V IBABANG
DUPAY",LUCENA CITY,31/12/2025,P,"Anna A. Andaman Villanueva,
Md",REGION IV-A,QUEZON
1705,"Pangkalusugan)Unihealth Quezon Hospital And
Medical Center, Inc.",042-421-7713,unihealthquezon@gmail.com,"LOT NO. 957-E & 964 MAHARLIKA
ROAD BRGY. ISABANG",TAYABAS,31/12/2025,P,Angelito Santiago Abadilla,REGION IV-A,QUEZON
1707,"United Candelaria Doctors, Inc.",042-585-2114,unitedcandelariadoctors@gmail.co m/ ucdh2009@yahoo.com,"NATIONAL HIGHWAY, BRGY. MANGILAG SUR",CANDELARIA,31/12/2025,P,"Conrado C. Bukid,Md",REGION IV-A,QUEZON
1709,Alitagtag Rural Health Unit,(043),alitagtagrhu@gmail.com,POBLACION,ALITAGTAG,31/12/2027,G,"Flordeliza V. Castillo, Md",REGION IV-B,BATANGAS
1710,"Apacible Memorial District 
Hospital",(043),apaciblememorialdistricthospital@ yahoo.com,"VILLA MARQUITA SUBDIVISION, SITIO
SAGBAT, BRGY. LUMBANGAN",NASUGBU,31/12/2025,G,"Gilma P. Arcales, Md",REGION IV-B,BATANGAS
1711,Balayan Rhu,(043),hcdalawampu@yahoo.com,PLAZA MABINI ST. BARANGAY 4,BALAYAN,31/12/2025,G,"Haide C. Dalawampu- Loyola, Md.",REGION IV-B,BATANGAS
1712,Balete Rural Health Unit,437069757,baleterhu@gmail.com,NO. 9 BARANGAY POBLACION,BALETE,31/12/2027,G,"Czar K. Quinto, Md",REGION IV-B,BATANGAS
1713,Batangas City Health Office,7238890,reabmd@yahoo.com,P BURGOS STREET BRGY 17,BATANGAS CITY,31/12/2025,G,Rosanna Carmelita A. Barrion,REGION IV-B,BATANGAS
1714,Batangas Medical Center,723-0911,omcc@batmc.ph,"BIHI ROAD KUMINTANG IBABA,",BATANGAS CITY,31/12/2025,G,"Maritess Teresita M. Torio, Md",REGION IV-B,BATANGAS
1715,"Batangas Provincial Hospital 
(Don Juan Mayuga Memorial 
Hospital)",(043)411-1260,batprovhospital@yahoo.com,PALANAS,LEMERY,31/12/2025,G,Ferdinand M. Macababbad,REGION IV-B,BATANGAS
1716,Batmc-Batstateu Bucas Center,437408307,OMCC@BATMC.PH,RIZAL AVENUE BARANGAY 21,BATANGAS CITY,31/12/2025,G,Evarose P. Lapitan,REGION IV-B,BATANGAS
1717,Bauan Rhu Ii,(043),rhubauan2@gmail.com,"CIRIACO INGCO ST., APLAYA",BAUAN,31/12/2025,G,"Wiston E. Ilagan, Md",REGION IV-B,BATANGAS
1718,Bauan Rural Health Unit I,(043),bauanbatangasrhu1@gmaill.com,F. MANGOBOS STREET POBLACION 1,BAUAN,31/12/2025,G,"Wiston E. Ilagan, Md",REGION IV-B,BATANGAS
1719,Calaca City Health Office,043-223-7220,mho.calaca@gmail.com,DELA SALUD STREET POBLACION 3,CALACA,31/12/2025,G,Marjolyne V. Ona,REGION IV-B,BATANGAS
1720,Calatagan Medicare Hospital,419-0160,calatagan_medicare@yahoo.com,"APACIBLE ST.,POBLACION 2",CALATAGAN,31/12/2025,G,"Alessandro D. Coronel, Md",REGION IV-B,BATANGAS
1721,"Christ The Saviour Medical Center, Inc.",043,csgi@yahoo.com,126 GUALBERTO AVE BRGY A,ROSARIO,31/12/2025,P,Aileen G. Reyes,REGION IV-B,BATANGAS
1722,Cuenca Rural Health Unit,043-740-1652,cuencarhu@gmail.com,BARANGAY 2,CUENCA,31/12/2025,G,"Carolina C. Cuevas, Rn, Md",REGION IV-B,BATANGAS
1723,"Don Manuel Lopez Memorial 
District",437276134,"donmanuellopezhospital@yahoo.c
om",GUMAMELA,BALAYAN,31/12/2025,G,Maria Maureen E. Villanueva,REGION IV-B,BATANGAS
1725,"Hospitaldr. Santiago Lacdao Memorial 
Health",043,lipa.cho@yahoo.com.ph,CM RECTO AVENUE BARANGAY 1,LIPA CITY,31/12/2025,G,Ariel G. Lescano,REGION IV-B,BATANGAS
1727,"Healthway Daniel O. Mercado 
Medical",778-1810,gsd.tan@qualimed.com.ph,"NO. 1 PRESIDENT LAUREL HIGHWAY,",TANAUAN,31/12/2026,P,"Asis S. Encarnacion, Jr",REGION IV-B,BATANGAS
1730,"Laboratorylaurel Memorial District 
Hospital",043-784-0958,lmdh36@yahoo.com,"SANTOR,",TANAUAN,31/12/2025,G,"Venus De Grano, Md",REGION IV-B,BATANGAS
1731,Laurel Rural Health Unit,741,bengarcia_md@hotmail.com,POBLACION 2,LAUREL,31/12/2025,G,Hazelie L. Diomampo,REGION IV-B,BATANGAS
1732,Lian Rural Health Unit,043,"LIAN.MUNICIPALHEALTHCENTER@
GMAIL.COM",J P RIZAL STREET BARANGAY 4,LIAN,31/12/2025,G,Gerard Majello B. Dalisay,REGION IV-B,BATANGAS
1733,Lobo Municipal Hospital,043-349-8093,lobo_municipal_hospital@yahoo.c om,"FABRICA,",LOBO,31/12/2025,G,"Priscilla S. Sulit, Md",REGION IV-B,BATANGAS
1735,Mabini Rhu Konsulta Center,433492341,mabinirhu001@gmail.com,POBLACION,MABINI,31/12/2025,G,Melanio Ramir P. Beloso,REGION IV-B,BATANGAS
1736,"Mahal Na Virgen Maria Sto. 
Rosario",(043)321-1330,mvmstorosariodistricthospital@yah oo.com,"BARANGAY NAMUNGA,",ROSARIO,31/12/2025,G,Cesar N. Reyes Jr.,REGION IV-B,BATANGAS
1738,"Martin Marasigan District 
Hospital",(043),martinmarasigan1980@yahoo.com,"MALVAR COR. MABINI STS., BRGY. 3",CUENCA,31/12/2025,G,"Roldan M. Briones, Md, Mha",REGION IV-B,BATANGAS
1739,"Mary Mediatrix Medical Center, Inc.",773-6800,associate.admin@mediatrix.com.p h,MATAAS NA LUPA,LIPA CITY,31/12/2025,P,Rommel B. Lojo,REGION IV-B,BATANGAS
1740,Municipality Of Mataasnakahoy,(043),mkahoyrhu@yahoo.com,"DIMAYUGA ST., BRGY. II",MATAAS-NA-KAHOY,31/12/2025,G,"Karla M. Caraan, Md",REGION IV-B,BATANGAS
1742,Padre Garcia Rural Health Unit,043-515-9344,padregarciarhu@gmail.com,A. LUNA ST. POBLACION,PADRE GARCIA,31/12/2025,G,Anne Kristine V. Vallejo,REGION IV-B,BATANGAS
1745,Provider)Rhu Sta. Teresita,437720738,rhu.stateresita@yahoo.com,POBLACION I,STA. TERESITA,31/12/2025,G,"Lemuel Tyrone B. Macalalad,
Md",REGION IV-B,BATANGAS
1746,Rural Health Unit Of Lemery,043-740-2893,health@lemerybatangas.gov.ph,ILLUSTRE AVENUE BRGY. DISTRICT III,LEMERY,31/12/2025,G,"Janice U. Kahulugan, Md",REGION IV-B,BATANGAS
1747,"San Antonio Medical Center Of 
Lipa,",043,sanantonio_gen1970@yahoo.com,#2 CM RECTO AVENUE BARANGAY 9,LIPA CITY,31/12/2025,P,Emma R. Caringal,REGION IV-B,BATANGAS
1748,Inc.San Jose District Hospital,726-2230726-2354,sjdhbats_78@yahoo.com,BANAY BANAY I,SAN JOSE,31/12/2026,G,Augustus Caesar P. Apalisok,REGION IV-B,BATANGAS
1749,San Juan District Hospital,575-3756,sanjuan_districthospital@yahoo.co m / manguiatness@gmail.com,BRGY. TALAHIBAN 2ND,SAN JUAN,31/12/2025,G,Olive Jay G. Aguzar,REGION IV-B,BATANGAS
1750,San Luis Rural Health Unit I,(043),sanluisbatangas.rhu@gmail.com,"M.V. MATRO ST., POBLACION",SAN LUIS,31/12/2025,G,"Salvador Atanacito R. Lasala,
Md",REGION IV-B,BATANGAS
1751,"San Pascual Super Health 
Center",(043),"rhu_sanpascual.batangas@yahoo.c
om","AQUINO AVENUE, POBLACION",SAN PASCUAL,31/12/2025,G,"Joan Stephanie S. Matira, Md",REGION IV-B,BATANGAS
1752,Santo Tomas General Hospital,(043),stgh91@yahoo.com.ph,"1181 PRES. JP LAUREL HIGHWAY,
BRGY. SAN ROQUE",STO. TOMAS,31/12/2025,P,"Johnny F. Platon, Md",REGION IV-B,BATANGAS
1753,Shalom Dynamic Health Care Co.,043-341-9577,care@shalomlab.ph,MAPTAN BLDG PALLOCAN KANLURAN,BATANGAS CITY,31/12/2027,P,Daniel Thomas A. Berberabe,REGION IV-B,BATANGAS
1754,"Sierra Makiling Health 
Corporation",741-5684,smhcorp@yahoo.com,"SIERRA MAKILING BDLG. KM 61,
MAHARLIKA HIWAY, SAN ANTONIO",STO. TOMAS,31/12/2026,P,"Christian H. Gonzales, Md",REGION IV-B,BATANGAS
1755,"St. Frances Cabrini Medical 
Center,",(043)778-4811,cabrini.medicalcenter@gmail.com,"MAHARLIKA HIGHWAY, POBLACION II",STO. TOMAS,31/12/2025,P,"Malen M. Gellido, Md",REGION IV-B,BATANGAS
1758,"Of Taal, Batangastanauan Rural Health Unit I 
Konsulta",728-9868781-8924,TanauanRhu1@gmail.com,"TINDALO STREET, POBLACION III",TANAUAN,31/12/2025,G,"Anna Angela O. Corona-
Dalawampu, Md",REGION IV-B,BATANGAS
1759,"Tanauan Rural Health Unit Ii 
Konsulta",7818924,tanauanrhu2@gmail.com,BARANGAY SAMBAT,TANAUAN,31/12/2025,G,"Imelda Rosal-Bautista, Md",REGION IV-B,BATANGAS
1760,Taysan Super Health Center,727-5549,health@taysan.gov.ph,"J.P RIZAL STREET BARANGAY
POBLACION WEST",TAYSAN,31/12/2025,G,"Nanette C. Viril-Vicente, Md",REGION IV-B,BATANGAS
1764,Buenavista Rhu,(042),buena.rhu@gmail.com,"NEPOMUCENO ST., BRGY 1,
POBLACION",BUENAVISTA,31/12/2025,G,Eleanor May D. Grate,REGION IV-B,MARINDUQUE
1765,"Gasan Rural Health Unit And 
Birthing",(042),gasan.rural.health.unit@gmail.com,#214 PLATA ST. BRGY. 1,GASAN,31/12/2025,G,"Abigail S. Villaruel, Md",REGION IV-B,MARINDUQUE
1766,"Facilitymarinduque Provincial 
Hospital",(043)332-0641,damianreyesprov.hosp@yahoo.co m.ph,SANTOL,BOAC,31/12/2025,G,"Annette M. Macayaon, Md",REGION IV-B,MARINDUQUE
1767,Mogpog Rural Health Unit,042-3320761,rhu@mogpog.gov.ph,"MUNICIPAL BLDG COMPOUND
GITNANG BAYAN",MOGPOG,31/12/2025,G,Edzel L. Muhi,REGION IV-B,MARINDUQUE
1768,"Pablo N. Marquez Memorial 
Health",(042),mhoboac@yahoo.com,"T. ROQUE ST., BRGY. ISOK-1",BOAC,31/12/2025,G,"Catherine Dell J. Sadiwa-Cruz,
Md",REGION IV-B,MARINDUQUE
1774,Calintaan- Rural Health Unit,043-4911361,calintaanrhu@yahoo.com.ph,POBLACION,CALINTAAN (SAN MIGUEL),31/12/2025,G,"Beth F. Jimenez, Md",REGION IV-B,OCCIDENTAL MINDORO
1777,Lubang District Hospital,899-8799,lubangdistricthospital@gmail.com,BRGY. TANGAL,LUBANG,31/12/2025,G,Vivien Z. Valisno,REGION IV-B,OCCIDENTAL MINDORO
1779,"Mindoro Occidental Premier 
Medical Group Multipurpose 
Cooperative",043-742-5268,MOMMGHSC@YAHOO.COM,BALMES BLDH. DIEGO SILANG ST. BRGY. 5,SAN JOSE,31/12/2025,P,Anna Monica R. Bracamonte,REGION IV-B,OCCIDENTAL MINDORO
1796,Chsd North,043-2886-719,chsd_g@yahoo.com,SAN VICENTE WEST,CALAPAN,31/12/2025,G,Basilisa M. Llanto,REGION IV-B,ORIENTAL MINDORO
1797,Chsd South,432884742,chsd_g@yahoo.com,BONIFACIO DRIVE IBABA EAST,CALAPAN,31/12/2025,G,Basilisa M. Llanto,REGION IV-B,ORIENTAL MINDORO
1798,"City Health And Sanitation 
Department",432887408,chsd_g@yahoo.com,"NEW CITY HALL COMPLEX, BRGY.
GUINOBATAN",CALAPAN,31/12/2025,G,Dr. Basilisa M. Llanto,REGION IV-B,ORIENTAL MINDORO
1799,"-Dr. Conrado G. Medina  Main
Memorial",432889787,dcgm_mmc@yahoo.com,"J.P. RIZAL ST., SAN VICENTE EAST",CALAPAN,31/12/2026,P,"Richard C. Medina, M.D.",REGION IV-B,ORIENTAL MINDORO
1802,Hospital Of The Holy Cross,(043),hhc_calapan@yahoo.com.ph,"V. MEDRANO ST., ILAYA",CALAPAN,31/12/2026,P,"Renato Jose M. Priela, Md",REGION IV-B,ORIENTAL MINDORO
1804,"Services Inc.Luna Goco Medical Center, Inc.",432867228,lunagocomedicalcenterfiles@gmail. com,JP RIZAL ST. BRGY. LALUD,CALAPAN,31/12/2026,P,"Augelito L. Goco, Md",REGION IV-B,ORIENTAL MINDORO
1806,"Maria Estrella General Hospital, Inc.",(043)286-738688,megh2k6@yahoo.com,"TAWIRAN,",CALAPAN,31/12/2026,P,Dr. Melinda Corazon N. Goco,REGION IV-B,ORIENTAL MINDORO
1807,Marilou'S Lying-In Clinic,283-5122,lornabedon16@gmail.com,"STRONG NAUTICAL HIGHWAY SAN
ISIDRO",BONGABONG,31/12/2027,P,Ronaldo F. Fetalvero,REGION IV-B,ORIENTAL MINDORO
1808,"Medical Mission Group Hospital 
Multipurpose Cooperative Of 
Oriental",(043),mmg.ormin@gmail.com,"J.P. RIZAL ST., TAWIRAN,",CALAPAN,31/12/2027,P,Dr. Claro M. Reyes,REGION IV-B,ORIENTAL MINDORO
1809,Mina De Oro General Hospital,(043)285-5384,minadeoro_1500@yahoo.com,POBLACION 4,VICTORIA,31/12/2027,P,Dr. Gregorio S. Valdez,REGION IV-B,ORIENTAL MINDORO
1815,"Oriental Mindoro Central 
District",(043),omcdh_hospital@yahoo.com,PAPANDAYAN,PINAMALAYAN,31/12/2025,G,Maria Consuelo Marinas,REGION IV-B,ORIENTAL MINDORO
1816,"Hospitaloriental Mindoro Provincial 
Hospital",(043),omphpgom@gmail.com,KM 5 BARANGAY STA. ISABEL,CALAPAN,31/12/2025,G,"Dante A. Nuestro, Md, Mha",REGION IV-B,ORIENTAL MINDORO
1817,"Oriental Mindoro Southern 
District",289-7504,omsdroxas@gmail.com,BRGY. ODIONG,ROXAS,31/12/2026,G,"Dr. Jocel C. Caranzo, Oic",REGION IV-B,ORIENTAL MINDORO
1818,"Hospitalpho - Oriental Mindoro Dental 
Clinic",288-7672,phoormin@yahoo.com,GREENHILLS SUBDIVISION BRGY ILAYA,CALAPAN,31/12/2027,G,Cielo Angela A. Ante,REGION IV-B,ORIENTAL MINDORO
1820,"Pinamalayan Municipal Health 
Office",(043),pinamalayanrhu@gmail.com,ZONE III,PINAMALAYAN,31/12/2026,G,"Niña Kristine L. Punzalan, Md",REGION IV-B,ORIENTAL MINDORO
1821,"Renato Umali Reyes Hospital Of 
Bongabong",(043),rurhospital@yahoo.com,"NAUTICAL HIGHWAY, BGY. LABASAN",BONGABONG,31/12/2025,G,Dr. Levon Vrf. Baldoza,REGION IV-B,ORIENTAL MINDORO
1822,Rhu-Bansud,(043),mhobansud@gmail.com,POBLACION,BANSUD,31/12/2025,G,"Mario O. Sales, Md",REGION IV-B,ORIENTAL MINDORO
1828,"Victoria Municipal Health 
Office",7176348666,mhovictoria2018@gmail.com,POBLACION I,VICTORIA,31/12/2025,G,"Pinafrancia A. Reyes, Md",REGION IV-B,ORIENTAL MINDORO
1830,"Adventist Hospital-Palawan,Inc",048-433-1247,admin@adventisthealth-pwn.com,JUNCTION III BGY. SAN PEDRO,PUERTO PRINCESA CITY,31/12/2026,P,Ronnie Dan G. Salazar,REGION IV-B,PALAWAN
1856,Ospital Ng Palawan,(048)434-2148,ospital.palawan@yahoo.com,"220 MALVAR ST., BRGY. SAN MIGUEL",PUERTO PRINCESA CITY,31/12/2025,G,Dr. Melecio N. Dy,REGION IV-B,PALAWAN
1858,"Puerto Princesa City Health 
Office",(048),"cityhealthptoprincesa@yahoo.com.
ph","OLD CITY HALL BLDG., BGY. STA.
MONICA",PUERTO PRINCESA CITY,31/12/2026,G,"Ricardo B. Panganiban, Md.,
Rn., Rmt",REGION IV-B,PALAWAN
1885,Romblon Provincial Hospital,5672400,odrph@yahoo.com,LIWANAG,ODIONGAN,31/12/2025,G,Benedict G. Anatalio,REGION IV-B,ROMBLON
1899,Cabredo General Hospital,(052),cabredo_gen@yahoo.com,"BOCALBOS ST., BASUD, 4511",TABACO,31/12/2025,P,"Juan B. Cabredo, Iii, Md.",REGION V,ALBAY
1906,"Jaime B. Berces Memorial 
Hospital",(052),jbbmh@yahoo.com,"KARANGAHAN BLVD., PRK 3 BOMBON,
4511",TABACO,31/12/2025,P,"Renato B. Grageda Jr., Md",REGION V,ALBAY
1931,"Hospitaldaet Doctors Hospital 
Incorporated",(054),ddhiofficial@gmail.com,"GOVERNOR PANOTES AVENUE, BRGY.
VII 4600",DAET,31/12/2025,P,"Victoria B. Gonzalez, Md",REGION V,CAMARINES NORTE
1939,"Municipal Health Office-San 
Lorenzo",(054)721-2172;,rhu_slr@yahoo.com,"P3 MAMPUROG, 4610","SAN LORENZO RUIZ
(IMELDA)",31/12/2025,G,"Doris C. Navarro, Md",REGION V,CAMARINES NORTE
1940,"Ruizparacale Municipal Health 
Office",;,rhuparacale@gmail.com,"STO. NIÑO ST., POBLACION NORTE,
4605",PARACALE,31/12/2025,G,"Bill Wilfred V. Peralta, Md",REGION V,CAMARINES NORTE
1950,"Bicol Region General Hospital 
And",054-473-2244;,brghgmc@gmail.com,"SAN PEDRO, 4406",CABUSAO,31/12/2025,G,"Ramon C. Echano, Md",REGION V,CAMARINES SUR
1955,Calabanga Rural Health Unit I,(054),rhubemonccalabanga@yahoo.com,"SAN PABLO, 4405",CALABANGA,31/12/2027,G,"Norradel P. Bolaños, Md",REGION V,CAMARINES SUR
1956,Chmsc Lourdes Hospital,(054),lhiriga@yahoo.com.ph,"HI WAY 1, SAN ROQUE, 4431",IRIGA CITY,31/12/2025,P,"Josefino D.R. Catangui, Jr.,
Md,Mba",REGION V,CAMARINES SUR
1958,Laboratoryiriga City Health Office,;,choiriga@gmail.com,"SANTA CRUZ SUR, 4431",IRIGA CITY,31/12/2025,G,"Ronald G. Pereña, Md",REGION V,CAMARINES SUR
1959,"Libmanan Rhu 2 Primary Care 
Facility",(054)511-7329;,ricrodp1@yahoo.com,"SAN ISIDRO, 4407",LIBMANAN,31/12/2025,G,"Ricardo Rodrigo L. Patacsil Ii,
Md",REGION V,CAMARINES SUR
1964,Naga City Health Office,;,cho@naga.gov.ph,"J MIRANDA AVE CONCEPCION
PEQUEÑA, 4400",NAGA CITY,31/12/2025,G,"Ronaldo T. Amoranto, Md",REGION V,CAMARINES SUR
1967,Our Lady Mediatrix Hospital,(054)299-2666,mediatrixhospital@yahoo.com,"029 HIGHWAY 1, SAN JOSE, 4431",IRIGA CITY,31/12/2025,P,"Lynie I. Gonzales, Md",REGION V,CAMARINES SUR
1970,Rhu - I Libmanan,(054),rhu_1libmanan@yahoo.com.ph,"BAGUMBAYAN, 4407",LIBMANAN,31/12/2025,G,"Eddie R. Palima, Md",REGION V,CAMARINES SUR
1985,"Care Facilitysta. Maria Josefa Hospital 
Foundation,",(054),"filipinas_stamariajosefa@yahoo.co
m","ZONE 2 SERVANTS OF JESUS AVENUE,
FRANCIA",IRIGA CITY,31/12/2025,P,"Pauline T. Kollin, Md",REGION V,CAMARINES SUR
1990,"Bato Maternity And Children'S 
Hospital",;,bmch1965@yahoo.com.ph,"TAMBURAN, 4801",BATO,31/12/2025,G,"Catalino R. Teves, Md",REGION V,CATANDUANES
1991,Bato Rural Health Unit,(052)741-1236,rhubato@gmail.com,"DEL ROSARIO ST., LIBOD POBLACION,
4801",BATO,31/12/2025,G,"Reah Lovella V. Toledana, Md",REGION V,CATANDUANES
1993,"Catanduanes Doctors Hospital, Inc.",;,cdhi.philhealthunit@gmail.com,"VALENCIA, 4800",VIRAC,31/12/2025,P,"Ivan Gil P. Balmadrid, Md",REGION V,CATANDUANES
1996,"Center Caramoranrural Health Unit Of San 
Miguel",;,sanmiguel.rhu2153@gmail.com,"QUIRINO ST. DISTRICT III, 4802",SAN MIGUEL,31/12/2027,G,"Felix Iii C. Ma, Md",REGION V,CATANDUANES
2003,"Masbate Mmg Primary Care 
Facility",(056),masbatemmg@gmail.com,"5400 ROSERO ST BARANGAY CENTRO,
5400",MASBATE,31/12/2026,P,"Pantaleon K. Amadora Jr, Md",REGION V,MASBATE
2007,Rhu Cataingan,;,"rhucatainganbirthingclinic@gmail.c
om","QUEZON ST.,BRGY. POBLACION, 5405",CATAINGAN,31/12/2027,G,"Francis Leo L. Arellano, Md",REGION V,MASBATE
2010,"Rural Health Unit Of San 
Jacinto",333-2357;,rhusanjacinto@gmail.com,"ESPINOSA ST. DISTRICT 3, 5417",SAN JACINTO,31/12/2025,G,"Renato E. Letada Jr, Md",REGION V,MASBATE
2012,San Fernando Rhu,(056),sanfernandorhu@gmail.com,"SITIO GUMUNAB, BRGY. MAGSASAKA,
5416",SAN FERNANDO,31/12/2025,G,"Gladys Ann C. Lacuin, Md",REGION V,MASBATE
2023,"Gsac General Hospital, Inc.",(056),gghi@gsac.coop,"PRK. 5, BRGY. ROAD BALOGO, 4700",SORSOGON,31/12/2025,P,"Mario Euric A. Alerta, Md.",REGION V,SORSOGON
2028,Magallanes Medicare Hospital,(056)211-1112;,mgmh@sorsogon.gov.ph,"J.DE CASTRO ST. AGUADA NORTE, 4705",MAGALLANES,31/12/2025,G,"Rosario T. Borja, Md.",REGION V,SORSOGON
2041,Sorsogon Provincial Hospital,(056)311-8904,sph@sorsogon.gov.ph,"BARANGAY MACABOG, 4700",SORSOGON,31/12/2025,G,"Atty. Daniel John D. Lachica,
Md",REGION V,SORSOGON
2044,"Altavas Rural Health Unit And 
Birthing",(036)269-1307,altavasrhu@yahoo.com/jgtayona@ gmail.com,"MABINI ST., POBLACION",ALTAVAS,31/12/2025,G,"Lurence Anne J. Paner,Md",REGION VI,AKLAN
2045,Centerbanga Rural Health Unit,267-65-83,rhubanga@gmail.com,"SAMPAGUITA STREET, POBLACION,",BANGA,31/12/2026,G,"Samuel R. Teodosio, Md",REGION VI,AKLAN
2046,"Batan Health Center And 
Birthing",(036),rhubatan@yahoo.com,POBLACION,BATAN,31/12/2026,G,"Aves R. Fantilanan, Md",REGION VI,AKLAN
2049,"Dr. Rafael S. Tumbokon 
Memorial",262-4224,drstmh@yahoo.com,"MABINI ST.,",KALIBO,31/12/2025,G,"Cornelio V. Cuachon, Jr., Md,
Mpa,Mmhoa",REGION VI,AKLAN
2050,Hospitalgodofredo P. Ramos Hospital,(036),altavasdisthospital@yahoo.com/ adhgprh11@gmail.com,POBLACION,ALTAVAS,31/12/2026,G,"Juluis R. Gonzales, Md",REGION VI,AKLAN
2051,Ibajay District Hospital,(036),ibajaydistricthospital@yahoo.com/ gelitomd@yahoo.com,AGBAGO,IBAJAY,31/12/2025,G,"Mary Jean A. Gelito, Md",REGION VI,AKLAN
2053,Ibajay Rural Health Unit Ii,036-289-2073,rhu2ibajay@gmail.com,"BRAULIO MANIKAN STREET,
POBLACION",IBAJAY,31/12/2025,G,"Dr. Antonio S. Maagma, Jr.",REGION VI,AKLAN
2054,"Kalibo Health And Birthing 
Center",036-2621741,jocelynrgarcia@yahoo.com,N. ROLDAN STREET POBLACION,KALIBO,31/12/2025,G,"Jocelyn T. Garcia, Md",REGION VI,AKLAN
2055,Kalibo Rural Health Unit 1,036-2621741,"jocelyntgarcia@yahoo,com","VETERANS AVENUE CORNER
REGALADO STREET",KALIBO,31/12/2025,G,"Jocelyn T. Garcia, Md",REGION VI,AKLAN
2056,"Lezo Rural Health Unit And 
Birthing",274-7331,lezo_rhu@yahoo.com,"FERNANDEZ ST., BRGY. POBLACION,",LEZO,31/12/2025,G,Ayssa Faye N. Azarraga,REGION VI,AKLAN
2057,"Facilitylibacao Health Center Birthing 
Facility",(036)2732971,mholibacao@gmail.com,"POBLACION,",LIBACAO,31/12/2025,G,"Aldrinne D.Fernandez, Md",REGION VI,AKLAN
2058,Madalag Primary Care Facility,(036)272-3625,madalagrhu@gmail.com,POBLACION,MADALAG,31/12/2026,G,"Josephine P. Ricamonte, Md",REGION VI,AKLAN
2059,"Malay (Tabon, Caticlan) Primary 
Care",362862469,mhomalay@gmail.com,"ZONE 5, BARANGAY POBLACION,",MALAY,31/12/2025,G,"Athena C. Magdamit, Md",REGION VI,AKLAN
2060,Facilitymalay Municipal Hospital,288-8729,jenethpueyojapitana@gmial.com,MOTAG,MALAY,31/12/2025,G,"Jeneth P. Japitana,Md",REGION VI,AKLAN
2061,Malinao Primary Care Facility,(036)272-4308,mhomalinao@gmail.com,"STO. ROSARIO ST., POBLACION",MALINAO,31/12/2026,G,"Floriphez L. Yerro, Md",REGION VI,AKLAN
2062,"Nabas Primary Health Care 
Facility",036-289-1443,rhunabas@yahoo.com,POBLACION,NABAS,31/12/2025,G,Dr. Minzy M. Delos Reyes,REGION VI,AKLAN
2065,"Numancia Primary Care Facility
(Numancia Pcf)",(036),numanciarhu@yahoo.com.ph,"POBLACION,",NUMANCIA,31/12/2025,G,"Levens T. Maravilla, Md",REGION VI,AKLAN
2066,"Pacita Calizo-Cortes Health 
Center",(036),rhubalete@yahoo.com,JUAN C. OQUENDO ST.,BALETE,31/12/2025,G,"Ma. Eden C. Sualog, Md",REGION VI,AKLAN
2067,Tangalan Rural Health Unit,2722090,rhutangalan@yahoo.com,"SAN JUAN ST., POBLACION,",TANGALAN,31/12/2025,G,Lera Gay V. Bagay,REGION VI,AKLAN
